date,symbol,close,fetched_at
2026-08-25,BTC=F,79010,2026-09-05T04:37:43Z
2026-08-25,BTCU26.CME,79335,2026-09-05T04:37:43Z
2026-08-25,BTCV26.CME,79710,2026-09-05T04:37:43Z
2026-08-25,BTCX26.CME,80015,2026-09-05T04:37:43Z
2026-08-26,BTC=F,78520,2026-09-05T04:37:43Z
2026-08-26,BTCU26.CME,78880,2026-09-05T04:37:43Z
2026-08-26,BTCV26.CME,79250,2026-09-05T04:37:43Z
2026-08-26,BTCX26.CME,79560,2026-09-05T04:37:43Z
2026-08-27,BTC=F,79900,2026-09-05T04:37:43Z
2026-08-27,BTCU26.CME,80280,2026-09-05T04:37:43Z
2026-08-27,BTCV26.CME,80720,2026-09-05T04:37:43Z
2026-08-27,BTCX26.CME,81060,2026-09-05T04:37:43Z
2026-08-28,BTC=F,79089,2026-09-05T04:37:43Z
2026-08-28,BTCU26.CME,77835,2026-09-05T04:37:43Z
2026-08-28,BTCV26.CME,78255,2026-09-05T04:37:43Z
2026-08-28,BTCX26.CME,78590,2026-09-05T04:37:43Z
2026-08-31,BTC=F,79245,2026-09-05T04:37:43Z
2026-08-31,BTCU26.CME,79245,2026-09-05T04:37:43Z
2026-08-31,BTCV26.CME,79665,2026-09-05T04:37:43Z
2026-08-31,BTCX26.CME,79985,2026-09-05T04:37:43Z
