date,funding_apr,hours_observed,front_product,front_days_to_expiry,basis_apr,basis_hours,spread_gross_apr,cost_drag_apr,spread_net_apr,cboe_funding_apr,cme_front_symbol,cme_basis_apr,rf_apr,spot_close,computed_at
2026-09-04,0.03504,4,BIT-25SEP26-CDE,20.760417,0.080234313,4,-0.045194313,0.019831977,-0.06502629,-0.018652621,BTCU26.CME,0.056857385,0.0372,79785.78,2026-09-22T00:25:56Z
2026-09-05,0.041245,24,BIT-25SEP26-CDE,20.145833,0.074185947,24,-0.032940947,0.019838003,-0.052778951,,BTCU26.CME,0.023289837,0.0372,79725.01,2026-09-22T00:25:56Z
2026-09-06,0.0438,24,BIT-25SEP26-CDE,19.145833,0.081834208,24,-0.038034208,0.019804752,-0.05783896,,BTCU26.CME,0.012638665,0.0372,79805.75,2026-09-22T00:25:56Z
2026-09-07,0.05475,12,BIT-25SEP26-CDE,18.267361,0.082437275,12,-0.027687275,0.019870317,-0.047557591,,BTCU26.CME,0.30460078,0.0372,79184.62,2026-09-22T00:25:56Z
2026-09-08,0.038794286,7,BIT-25SEP26-CDE,17.059524,0.060970646,7,-0.022176361,0.02011407,-0.042290431,-0.0085087035,BTCU26.CME,0.067697236,0.0372,78667.42,2026-09-22T00:25:56Z
2026-09-09,0.045051429,7,BIT-25SEP26-CDE,16.059524,0.066049421,7,-0.020997992,0.020131113,-0.041129105,0.0065628504,BTCU26.CME,0.13718457,0.0372,78592.38,2026-09-22T00:25:56Z
2026-09-10,-0.010352727,11,BIT-25SEP26-CDE,14.981061,0.067428435,11,-0.077781162,0.02043644,-0.098217602,-0.051406955,BTCU26.CME,0.4028018,0.0384,77158.01,2026-09-22T00:25:56Z
2026-09-11,0.010664348,23,BIT-25SEP26-CDE,14.164855,0.064249912,23,-0.053585565,0.020450455,-0.07403602,-0.0058987337,BTCU26.CME,-0.12223124,0.0385,77287.6,2026-09-22T00:25:56Z
2026-09-12,0.055115,24,BIT-25SEP26-CDE,13.145833,0.067669648,24,-0.012554648,0.020470046,-0.033024693,,BTCU26.CME,0.074569117,0.0385,77134.99,2026-09-22T00:25:56Z
2026-09-13,0.073,24,BIT-25SEP26-CDE,12.145833,0.070845429,24,0.0021545709,0.020520644,-0.018366073,,BTCV26.CME,0.045861902,0.0385,77271.22,2026-09-22T00:25:56Z
2026-09-14,0.03066,24,BIT-25SEP26-CDE,11.145833,0.065311757,24,-0.034651757,0.020267936,-0.054919693,-0.040885715,BTCU26.CME,-0.81956573,0.0386,78985.04,2026-09-22T00:25:56Z
2026-09-15,0.032485,24,BIT-25SEP26-CDE,10.145833,0.051776345,24,-0.019291345,0.020580983,-0.039872328,-0.024876598,BTCU26.CME,0.89506493,0.0385,76169.33,2026-09-22T00:25:56Z
2026-09-16,0.0219,24,BIT-25SEP26-CDE,9.1458333,0.056577274,24,-0.034677274,0.020870505,-0.055547779,-0.033668794,BTCU26.CME,-0.12746139,0.0388,75964.9,2026-09-22T00:25:56Z
2026-09-17,-0.005475,24,BIT-25SEP26-CDE,8.1458333,0.070126637,24,-0.075601637,0.020694481,-0.096296119,-0.040254112,BTCU26.CME,-0.073905426,0.0389,76498.48,2026-09-22T00:25:56Z
2026-09-18,0.06132,23,BIT-30OCT26-CDE,16.74053,0.085526298,22,-0.024206298,0.020070467,-0.044276764,0.024277721,BTCU26.CME,-2.8266264,0.0389,81084.36,2026-09-22T00:25:56Z
2026-09-19,0.190165,24,BIT-30OCT26-CDE,41.1875,0.072363717,24,0.11780128,0.019461837,0.098339446,,BTCV26.CME,0.090182142,0.0389,81354,2026-09-22T00:25:56Z
2026-09-20,0.147825,24,BIT-30OCT26-CDE,40.1875,0.07740724,24,0.07041776,0.019591843,0.050825916,,,,0.0389,81199.98,2026-09-22T00:25:56Z
2026-09-21,0.17447,24,BIT-30OCT26-CDE,39.1875,0.081596583,24,0.092873417,0.018817128,0.074056289,0.066757225,BTCV26.CME,-0.48186318,0.0388,86661.91,2026-09-22T00:25:56Z
2026-09-22,0.16644,1,BIT-30OCT26-CDE,38.666667,0.079394264,1,0.087045736,0.018268534,0.068777202,,BTCV26.CME,0.052329144,0.0388,86534.48,2026-09-22T00:25:56Z
