date,symbol,kind,value,fetched_at
2012-02-01,IEF,dividend,0.191000,2026-09-05T01:17:07Z
2012-02-01,TLT,dividend,0.289000,2026-09-05T01:17:07Z
2012-03-01,IEF,dividend,0.170000,2026-09-05T01:17:07Z
2012-03-01,TLT,dividend,0.267000,2026-09-05T01:17:07Z
2012-03-16,SPY,dividend,0.614000,2026-09-05T01:17:07Z
2012-03-22,VEA,dividend,0.011000,2026-09-05T01:17:07Z
2012-03-23,IWM,dividend,0.251000,2026-09-05T01:17:07Z
2012-03-26,VNQ,dividend,0.502000,2026-09-05T01:17:07Z
2012-04-02,IEF,dividend,0.177000,2026-09-05T01:17:07Z
2012-04-02,TIP,dividend,0.324000,2026-09-05T01:17:07Z
2012-04-02,TLT,dividend,0.290000,2026-09-05T01:17:07Z
2012-05-01,IEF,dividend,0.168000,2026-09-05T01:17:07Z
2012-05-01,TIP,dividend,0.426000,2026-09-05T01:17:07Z
2012-05-01,TLT,dividend,0.283000,2026-09-05T01:17:07Z
2012-06-01,IEF,dividend,0.171000,2026-09-05T01:17:07Z
2012-06-01,TIP,dividend,0.804000,2026-09-05T01:17:07Z
2012-06-01,TLT,dividend,0.263000,2026-09-05T01:17:07Z
2012-06-15,SPY,dividend,0.688000,2026-09-05T01:17:07Z
2012-06-25,VNQ,dividend,0.519000,2026-09-05T01:17:07Z
2012-06-26,IWM,dividend,0.377000,2026-09-05T01:17:07Z
2012-07-02,IEF,dividend,0.160000,2026-09-05T01:17:07Z
2012-07-02,TIP,dividend,0.354000,2026-09-05T01:17:07Z
2012-07-02,TLT,dividend,0.269000,2026-09-05T01:17:07Z
2012-08-01,IEF,dividend,0.162000,2026-09-05T01:17:07Z
2012-08-01,TLT,dividend,0.273000,2026-09-05T01:17:07Z
2012-09-04,IEF,dividend,0.151000,2026-09-05T01:17:07Z
2012-09-04,TLT,dividend,0.272000,2026-09-05T01:17:07Z
2012-09-21,SPY,dividend,0.779000,2026-09-05T01:17:07Z
2012-09-24,IWM,dividend,0.332000,2026-09-05T01:17:07Z
2012-09-24,VEA,dividend,0.689000,2026-09-05T01:17:07Z
2012-09-24,VNQ,dividend,0.525000,2026-09-05T01:17:07Z
2012-09-24,VWO,dividend,0.525000,2026-09-05T01:17:07Z
2012-10-01,IEF,dividend,0.141000,2026-09-05T01:17:07Z
2012-10-01,TLT,dividend,0.260000,2026-09-05T01:17:07Z
2012-11-01,IEF,dividend,0.145000,2026-09-05T01:17:07Z
2012-11-01,TIP,dividend,0.292000,2026-09-05T01:17:07Z
2012-12-03,IEF,dividend,0.137000,2026-09-05T01:17:07Z
2012-12-03,TIP,dividend,0.485000,2026-09-05T01:17:07Z
2012-12-03,TLT,dividend,0.245000,2026-09-05T01:17:07Z
2012-12-19,IWM,dividend,0.727000,2026-09-05T01:17:07Z
2012-12-20,VEA,dividend,0.346000,2026-09-05T01:17:07Z
2012-12-20,VWO,dividend,0.450000,2026-09-05T01:17:07Z
2012-12-21,SPY,dividend,1.022000,2026-09-05T01:17:07Z
2012-12-24,VNQ,dividend,0.797000,2026-09-05T01:17:07Z
2012-12-26,IEF,dividend,0.151000,2026-09-05T01:17:07Z
2012-12-26,TIP,dividend,0.009000,2026-09-05T01:17:07Z
2012-12-26,TLT,dividend,0.268000,2026-09-05T01:17:07Z
