date,symbol,close,volume,fetched_at
2021-01-04,SPY,368.790009,110210800,2026-09-05T01:14:12Z
2021-01-05,SPY,371.329987,66426200,2026-09-05T01:14:12Z
2021-01-06,SPY,373.549988,107997700,2026-09-05T01:14:12Z
2021-01-07,SPY,379.100006,68766800,2026-09-05T01:14:12Z
2021-01-08,SPY,381.260010,71677200,2026-09-05T01:14:12Z
2021-01-11,SPY,378.690002,51034700,2026-09-05T01:14:12Z
2021-01-12,SPY,378.769989,52547700,2026-09-05T01:14:12Z
2021-01-13,SPY,379.790009,45303600,2026-09-05T01:14:12Z
2021-01-14,SPY,378.459991,49989100,2026-09-05T01:14:12Z
2021-01-15,SPY,375.700012,107160000,2026-09-05T01:14:12Z
2021-01-19,SPY,378.649994,51233300,2026-09-05T01:14:12Z
2021-01-20,SPY,383.890015,61836100,2026-09-05T01:14:12Z
2021-01-21,SPY,384.239990,47840100,2026-09-05T01:14:12Z
2021-01-22,SPY,382.880005,52860500,2026-09-05T01:14:12Z
2021-01-25,SPY,384.390015,70402000,2026-09-05T01:14:12Z
2021-01-26,SPY,383.790009,42665300,2026-09-05T01:14:12Z
2021-01-27,SPY,374.410004,123351100,2026-09-05T01:14:12Z
2021-01-28,SPY,377.630005,94198100,2026-09-05T01:14:12Z
2021-01-29,SPY,370.070007,126765100,2026-09-05T01:14:12Z
2021-02-01,SPY,376.230011,75817600,2026-09-05T01:14:12Z
2021-02-02,SPY,381.549988,64450700,2026-09-05T01:14:12Z
2021-02-03,SPY,381.850006,52427100,2026-09-05T01:14:12Z
2021-02-04,SPY,386.190002,47142600,2026-09-05T01:14:12Z
2021-02-05,SPY,387.709991,48669800,2026-09-05T01:14:12Z
2021-02-08,SPY,390.510010,38365200,2026-09-05T01:14:12Z
2021-02-09,SPY,390.250000,35551100,2026-09-05T01:14:12Z
2021-02-10,SPY,390.079987,59154400,2026-09-05T01:14:12Z
2021-02-11,SPY,390.709991,42913300,2026-09-05T01:14:12Z
2021-02-12,SPY,392.640015,50593300,2026-09-05T01:14:12Z
2021-02-16,SPY,392.299988,50972400,2026-09-05T01:14:12Z
2021-02-17,SPY,392.390015,52290600,2026-09-05T01:14:12Z
2021-02-18,SPY,390.720001,59712800,2026-09-05T01:14:12Z
2021-02-19,SPY,390.029999,83241000,2026-09-05T01:14:12Z
2021-02-22,SPY,387.029999,67414200,2026-09-05T01:14:12Z
2021-02-23,SPY,387.500000,107284100,2026-09-05T01:14:12Z
2021-02-24,SPY,391.769989,72433900,2026-09-05T01:14:12Z
2021-02-25,SPY,382.329987,146670500,2026-09-05T01:14:12Z
2021-02-26,SPY,380.359985,152701600,2026-09-05T01:14:12Z
2021-03-01,SPY,389.579987,105348800,2026-09-05T01:14:12Z
2021-03-02,SPY,386.540009,79595300,2026-09-05T01:14:12Z
2021-03-03,SPY,381.420013,119940200,2026-09-05T01:14:12Z
2021-03-04,SPY,376.700012,183433000,2026-09-05T01:14:12Z
2021-03-05,SPY,383.630005,152039600,2026-09-05T01:14:12Z
2021-03-08,SPY,381.720001,123149200,2026-09-05T01:14:12Z
2021-03-09,SPY,387.170013,113633600,2026-09-05T01:14:12Z
2021-03-10,SPY,389.579987,109899400,2026-09-05T01:14:12Z
2021-03-11,SPY,393.529999,86245000,2026-09-05T01:14:12Z
2021-03-12,SPY,394.059998,64653600,2026-09-05T01:14:12Z
2021-03-15,SPY,396.410004,73427200,2026-09-05T01:14:12Z
2021-03-16,SPY,395.910004,73722500,2026-09-05T01:14:12Z
2021-03-17,SPY,397.260010,97959300,2026-09-05T01:14:12Z
2021-03-18,SPY,391.480011,115349100,2026-09-05T01:14:12Z
2021-03-19,SPY,389.480011,113624500,2026-09-05T01:14:12Z
2021-03-22,SPY,392.589996,73778600,2026-09-05T01:14:12Z
2021-03-23,SPY,389.500000,90686600,2026-09-05T01:14:12Z
2021-03-24,SPY,387.519989,97588600,2026-09-05T01:14:12Z
2021-03-25,SPY,389.700012,116128600,2026-09-05T01:14:12Z
2021-03-26,SPY,395.980011,114409100,2026-09-05T01:14:12Z
2021-03-29,SPY,395.779999,108107600,2026-09-05T01:14:12Z
2021-03-30,SPY,394.730011,76262200,2026-09-05T01:14:12Z
2021-03-31,SPY,396.329987,112734200,2026-09-05T01:14:12Z
2021-04-01,SPY,400.609985,99682900,2026-09-05T01:14:12Z
2021-04-05,SPY,406.359985,91684800,2026-09-05T01:14:12Z
2021-04-06,SPY,406.119995,62021000,2026-09-05T01:14:12Z
2021-04-07,SPY,406.589996,55836300,2026-09-05T01:14:12Z
2021-04-08,SPY,408.519989,57863100,2026-09-05T01:14:12Z
2021-04-09,SPY,411.489990,61104600,2026-09-05T01:14:12Z
2021-04-12,SPY,411.640015,56704900,2026-09-05T01:14:12Z
2021-04-13,SPY,412.859985,56551000,2026-09-05T01:14:12Z
2021-04-14,SPY,411.450012,61659900,2026-09-05T01:14:12Z
2021-04-15,SPY,415.869995,60229800,2026-09-05T01:14:12Z
2021-04-16,SPY,417.260010,82037300,2026-09-05T01:14:12Z
2021-04-19,SPY,415.209991,78498500,2026-09-05T01:14:12Z
2021-04-20,SPY,412.170013,81851800,2026-09-05T01:14:12Z
2021-04-21,SPY,416.070007,66793000,2026-09-05T01:14:12Z
2021-04-22,SPY,412.269989,97582800,2026-09-05T01:14:12Z
2021-04-23,SPY,416.739990,73209200,2026-09-05T01:14:12Z
2021-04-26,SPY,417.609985,52182400,2026-09-05T01:14:12Z
2021-04-27,SPY,417.519989,51303100,2026-09-05T01:14:12Z
2021-04-28,SPY,417.399994,51238900,2026-09-05T01:14:12Z
2021-04-29,SPY,420.059998,78544300,2026-09-05T01:14:12Z
2021-04-30,SPY,417.299988,85527000,2026-09-05T01:14:12Z
2021-05-03,SPY,418.200012,68128300,2026-09-05T01:14:12Z
2021-05-04,SPY,415.619995,101591200,2026-09-05T01:14:12Z
2021-05-05,SPY,415.750000,60162200,2026-09-05T01:14:12Z
2021-05-06,SPY,419.070007,74321400,2026-09-05T01:14:12Z
2021-05-07,SPY,422.119995,67733800,2026-09-05T01:14:12Z
2021-05-10,SPY,417.940002,81852400,2026-09-05T01:14:12Z
2021-05-11,SPY,414.209991,116888000,2026-09-05T01:14:12Z
2021-05-12,SPY,405.410004,134811000,2026-09-05T01:14:12Z
2021-05-13,SPY,410.279999,106394000,2026-09-05T01:14:12Z
2021-05-14,SPY,416.579987,82201600,2026-09-05T01:14:12Z
2021-05-17,SPY,415.519989,65129200,2026-09-05T01:14:12Z
2021-05-18,SPY,411.940002,59810200,2026-09-05T01:14:12Z
2021-05-19,SPY,410.859985,106467100,2026-09-05T01:14:12Z
2021-05-20,SPY,415.279999,78022200,2026-09-05T01:14:12Z
2021-05-21,SPY,414.940002,76578700,2026-09-05T01:14:12Z
2021-05-24,SPY,419.170013,51376700,2026-09-05T01:14:12Z
2021-05-25,SPY,418.239990,57451400,2026-09-05T01:14:12Z
2021-05-26,SPY,419.070007,43088600,2026-09-05T01:14:12Z
2021-05-27,SPY,419.290009,56707700,2026-09-05T01:14:12Z
2021-05-28,SPY,420.040009,58520200,2026-09-05T01:14:12Z
2021-06-01,SPY,419.670013,54216600,2026-09-05T01:14:12Z
2021-06-02,SPY,420.329987,49097100,2026-09-05T01:14:12Z
2021-06-03,SPY,418.769989,58138800,2026-09-05T01:14:12Z
2021-06-04,SPY,422.600006,55938800,2026-09-05T01:14:12Z
2021-06-07,SPY,422.190002,51555000,2026-09-05T01:14:12Z
2021-06-08,SPY,422.279999,47134300,2026-09-05T01:14:12Z
2021-06-09,SPY,421.649994,48436300,2026-09-05T01:14:12Z
2021-06-10,SPY,423.609985,51020100,2026-09-05T01:14:12Z
2021-06-11,SPY,424.309998,45570800,2026-09-05T01:14:12Z
2021-06-14,SPY,425.260010,42358500,2026-09-05T01:14:12Z
2021-06-15,SPY,424.480011,51508500,2026-09-05T01:14:12Z
2021-06-16,SPY,422.109985,80386100,2026-09-05T01:14:12Z
2021-06-17,SPY,421.970001,90949700,2026-09-05T01:14:12Z
2021-06-18,SPY,414.920013,118676300,2026-09-05T01:14:12Z
2021-06-21,SPY,420.859985,72822000,2026-09-05T01:14:12Z
2021-06-22,SPY,423.109985,57700300,2026-09-05T01:14:12Z
2021-06-23,SPY,422.600006,49445400,2026-09-05T01:14:12Z
2021-06-24,SPY,425.100006,45110300,2026-09-05T01:14:12Z
2021-06-25,SPY,426.609985,58129500,2026-09-05T01:14:12Z
2021-06-28,SPY,427.470001,53159600,2026-09-05T01:14:12Z
2021-06-29,SPY,427.700012,35970500,2026-09-05T01:14:12Z
2021-06-30,SPY,428.059998,64827900,2026-09-05T01:14:12Z
2021-07-01,SPY,430.429993,53441000,2026-09-05T01:14:12Z
2021-07-02,SPY,433.720001,57697700,2026-09-05T01:14:12Z
2021-07-06,SPY,432.929993,68710400,2026-09-05T01:14:12Z
2021-07-07,SPY,434.459991,63549500,2026-09-05T01:14:12Z
2021-07-08,SPY,430.920013,97595200,2026-09-05T01:14:12Z
2021-07-09,SPY,435.519989,76238600,2026-09-05T01:14:12Z
2021-07-12,SPY,437.079987,52889600,2026-09-05T01:14:12Z
2021-07-13,SPY,435.589996,52911300,2026-09-05T01:14:12Z
2021-07-14,SPY,436.239990,64130400,2026-09-05T01:14:12Z
2021-07-15,SPY,434.750000,55126400,2026-09-05T01:14:12Z
2021-07-16,SPY,431.339996,75874700,2026-09-05T01:14:12Z
2021-07-19,SPY,424.970001,147987000,2026-09-05T01:14:12Z
2021-07-20,SPY,431.059998,99608200,2026-09-05T01:14:12Z
2021-07-21,SPY,434.549988,64724400,2026-09-05T01:14:12Z
2021-07-22,SPY,435.459991,47878500,2026-09-05T01:14:12Z
2021-07-23,SPY,439.940002,63766600,2026-09-05T01:14:12Z
2021-07-26,SPY,441.019989,43719200,2026-09-05T01:14:12Z
2021-07-27,SPY,439.010010,67397100,2026-09-05T01:14:12Z
2021-07-28,SPY,438.829987,52472400,2026-09-05T01:14:12Z
2021-07-29,SPY,440.649994,47435300,2026-09-05T01:14:12Z
2021-07-30,SPY,438.510010,68951200,2026-09-05T01:14:12Z
2021-08-02,SPY,437.589996,58783300,2026-09-05T01:14:12Z
2021-08-03,SPY,441.149994,58053900,2026-09-05T01:14:12Z
2021-08-04,SPY,438.980011,46732200,2026-09-05T01:14:12Z
2021-08-05,SPY,441.760010,38969700,2026-09-05T01:14:12Z
2021-08-06,SPY,442.489990,46930000,2026-09-05T01:14:12Z
2021-08-09,SPY,442.130005,41222600,2026-09-05T01:14:12Z
2021-08-10,SPY,442.679993,43339300,2026-09-05T01:14:12Z
2021-08-11,SPY,443.779999,44034300,2026-09-05T01:14:12Z
2021-08-12,SPY,445.109985,38909400,2026-09-05T01:14:12Z
2021-08-13,SPY,445.920013,39470300,2026-09-05T01:14:12Z
2021-08-16,SPY,446.970001,73740000,2026-09-05T01:14:12Z
2021-08-17,SPY,444.040009,92673900,2026-09-05T01:14:12Z
2021-08-18,SPY,439.179993,89351900,2026-09-05T01:14:12Z
2021-08-19,SPY,439.859985,92812200,2026-09-05T01:14:12Z
2021-08-20,SPY,443.359985,72008700,2026-09-05T01:14:12Z
2021-08-23,SPY,447.260010,54973000,2026-09-05T01:14:12Z
2021-08-24,SPY,447.970001,38744700,2026-09-05T01:14:12Z
2021-08-25,SPY,448.910004,40529700,2026-09-05T01:14:12Z
2021-08-26,SPY,446.260010,57829600,2026-09-05T01:14:12Z
2021-08-27,SPY,450.250000,77235100,2026-09-05T01:14:12Z
2021-08-30,SPY,452.230011,48357400,2026-09-05T01:14:12Z
2021-08-31,SPY,451.559998,59300200,2026-09-05T01:14:12Z
2021-09-01,SPY,451.799988,48721400,2026-09-05T01:14:12Z
2021-09-02,SPY,453.190002,42501000,2026-09-05T01:14:12Z
2021-09-03,SPY,453.079987,47170500,2026-09-05T01:14:12Z
2021-09-07,SPY,451.459991,51671500,2026-09-05T01:14:12Z
2021-09-08,SPY,450.910004,56181900,2026-09-05T01:14:12Z
2021-09-09,SPY,448.980011,57970400,2026-09-05T01:14:12Z
2021-09-10,SPY,445.440002,89948200,2026-09-05T01:14:12Z
2021-09-13,SPY,446.579987,83738600,2026-09-05T01:14:12Z
2021-09-14,SPY,444.170013,78197100,2026-09-05T01:14:12Z
2021-09-15,SPY,447.880005,78792200,2026-09-05T01:14:12Z
2021-09-16,SPY,447.170013,77786700,2026-09-05T01:14:12Z
2021-09-17,SPY,441.399994,118425000,2026-09-05T01:14:12Z
2021-09-20,SPY,434.040009,166445500,2026-09-05T01:14:12Z
2021-09-21,SPY,433.630005,92526100,2026-09-05T01:14:12Z
2021-09-22,SPY,437.859985,102350100,2026-09-05T01:14:12Z
2021-09-23,SPY,443.179993,76396000,2026-09-05T01:14:12Z
2021-09-24,SPY,443.910004,62094800,2026-09-05T01:14:12Z
2021-09-27,SPY,442.640015,61371100,2026-09-05T01:14:12Z
2021-09-28,SPY,433.720001,130436300,2026-09-05T01:14:12Z
2021-09-29,SPY,434.450012,82329200,2026-09-05T01:14:12Z
2021-09-30,SPY,429.140015,140506000,2026-09-05T01:14:12Z
2021-10-01,SPY,434.239990,129240100,2026-09-05T01:14:12Z
2021-10-04,SPY,428.640015,128570000,2026-09-05T01:14:12Z
2021-10-05,SPY,433.100006,90682500,2026-09-05T01:14:12Z
2021-10-06,SPY,434.899994,113032200,2026-09-05T01:14:12Z
2021-10-07,SPY,438.660004,72437500,2026-09-05T01:14:12Z
2021-10-08,SPY,437.859985,74557400,2026-09-05T01:14:12Z
2021-10-11,SPY,434.690002,65233300,2026-09-05T01:14:12Z
2021-10-12,SPY,433.619995,71181200,2026-09-05T01:14:12Z
2021-10-13,SPY,435.179993,72974000,2026-09-05T01:14:12Z
2021-10-14,SPY,442.500000,70236800,2026-09-05T01:14:12Z
2021-10-15,SPY,445.869995,66260200,2026-09-05T01:14:12Z
2021-10-18,SPY,447.190002,62213200,2026-09-05T01:14:12Z
2021-10-19,SPY,450.640015,46996800,2026-09-05T01:14:12Z
2021-10-20,SPY,452.410004,49571600,2026-09-05T01:14:12Z
2021-10-21,SPY,453.589996,41305400,2026-09-05T01:14:12Z
2021-10-22,SPY,453.119995,58845100,2026-09-05T01:14:12Z
2021-10-25,SPY,455.549988,45214500,2026-09-05T01:14:12Z
2021-10-26,SPY,455.959991,56075100,2026-09-05T01:14:12Z
2021-10-27,SPY,453.940002,72438000,2026-09-05T01:14:12Z
2021-10-28,SPY,458.320007,51437900,2026-09-05T01:14:12Z
2021-10-29,SPY,459.250000,70162400,2026-09-05T01:14:12Z
2021-11-01,SPY,460.040009,48433600,2026-09-05T01:14:12Z
2021-11-02,SPY,461.899994,48908400,2026-09-05T01:14:12Z
2021-11-03,SPY,464.720001,52509800,2026-09-05T01:14:12Z
2021-11-04,SPY,466.910004,52847100,2026-09-05T01:14:12Z
2021-11-05,SPY,468.529999,66390600,2026-09-05T01:14:12Z
2021-11-08,SPY,468.929993,50405200,2026-09-05T01:14:12Z
2021-11-09,SPY,467.380005,51149100,2026-09-05T01:14:12Z
2021-11-10,SPY,463.619995,69429700,2026-09-05T01:14:12Z
